CB My chunked:
ID,Sensitivity,Precision (PPV),F1,Ref HR[bpm],Calculated HR[bpm],Diff HR[bpm],SDNN [s],RMSSD [s],TP,FP,FN
0031_0min,98.57142857142858,100.0,99.28057553956835,67.41573033707866,66.91449814126395,0.5012321958147083,0.024310365042915335,0.019363846225122282,69,0,1
0031_1min,98.66666666666667,100.0,99.32885906040269,71.42857142857143,71.71314741035856,0.2845759817871283,0.025534383757250017,0.016258900696290997,74,0,1
0031_2min,96.0,100.0,97.95918367346938,69.76744186046511,69.76744186046511,0.0,0.1246541204245108,0.17325730933526365,72,0,3
0031_3min,98.61111111111111,100.0,99.3006993006993,68.18181818181819,68.18181818181819,0.0,0.09271715944380954,0.12935676365284315,71,0,1
0031_4min,98.55072463768117,100.0,99.27007299270075,64.51612903225806,64.74820143884892,0.23207240659085926,0.04249496014915493,0.044092037196162115,68,0,1
0031_5min,97.01492537313433,100.0,98.48484848484848,63.15789473684211,63.49206349206349,0.334168755221377,0.1375274199301321,0.19008630732592033,65,0,2
0031_6min,90.0,100.0,94.73684210526316,64.51612903225806,64.51612903225806,0.0,0.2075725895399376,0.2910013489036645,63,0,7
0031_7min,81.94444444444444,100.0,90.07633587786259,63.829787234042556,62.93706293706293,0.8927242969796225,0.2313203755218925,0.3496221853867685,59,0,13
0322_0min,100.0,100.0,100.0,72.28915662650603,72.0,0.2891566265060277,0.015641725688088914,0.01827824850309635,75,0,0
0322_1min,98.68421052631578,100.0,99.33774834437085,72.58064516129032,72.72727272727273,0.14662756598241344,0.016533004328433958,0.019397311869497724,75,0,1
0322_2min,98.7012987012987,100.0,99.34640522875817,72.8744939271255,72.8744939271255,0.0,0.015891608158916555,0.018000667321630723,76,0,1
0322_3min,98.7012987012987,100.0,99.34640522875817,73.17073170731707,73.17073170731707,0.0,0.013495605137402738,0.01814191635768197,76,0,1
0322_4min,100.0,100.0,100.0,73.17073170731707,73.17073170731707,0.0,0.01599687132768611,0.018362602897878746,77,0,0
0322_5min,98.73417721518987,100.0,99.36305732484078,74.3801652892562,74.3801652892562,0.0,0.013164444510750356,0.018563152837674252,78,0,1
0322_6min,100.0,100.0,100.0,75.0,75.0,0.0,0.016060080970634726,0.018836787449124884,78,0,0
0322_7min,98.68421052631578,100.0,99.33774834437085,75.94936708860759,75.94936708860759,0.0,0.01704042801686063,0.01756483965441291,75,0,1
0133_0min,97.2972972972973,100.0,98.63013698630138,69.4980694980695,69.76744186046511,0.2693723623956146,0.03459409032686063,0.0419882825680674,72,0,2
0133_1min,98.64864864864865,100.0,99.31972789115648,69.4980694980695,69.63249516441006,0.13442566634056163,0.03750168606177587,0.044605732383880284,73,0,1
0133_2min,100.0,100.0,100.0,69.76744186046511,69.76744186046511,0.0,0.03143010513689579,0.03471096844231579,73,0,0
0133_3min,100.0,100.0,100.0,70.58823529411765,69.76744186046511,0.8207934336525398,0.03281215122146171,0.039723193461319695,74,0,0
0133_4min,98.66666666666667,100.0,99.32885906040269,70.72691552062868,70.86614173228347,0.13922621165478688,0.028304094134081446,0.03671923840626059,74,0,1
0133_5min,100.0,100.0,100.0,71.00591715976331,70.86614173228347,0.13977542747984728,0.03264572630757128,0.03915974387473513,75,0,0
0133_6min,98.66666666666667,100.0,99.32885906040269,71.42857142857143,71.42857142857143,0.0,0.028014508032205086,0.03358010507413763,74,0,1
0133_7min,100.0,100.0,100.0,72.28915662650603,72.58064516129032,0.2914885347842926,0.030530801961500327,0.03724223579464754,72,0,0
0018_0min,99.32885906040269,100.0,99.66329966329967,142.85714285714286,141.73228346456693,1.124859392575928,0.004041882530848693,0.006603582810571332,148,0,1
0018_1min,99.32432432432432,100.0,99.66101694915254,142.85714285714286,140.625,2.232142857142861,0.0040961856513578735,0.006585715413649347,147,0,1
0018_2min,98.63945578231292,100.0,99.31506849315068,139.53488372093022,140.625,1.0901162790697754,0.03211527557204806,0.04501057460144035,145,0,2
0018_3min,98.64864864864865,100.0,99.31972789115648,142.85714285714286,139.53488372093022,3.3222591362126366,0.004984001356381456,0.008017149827589894,146,0,2
0018_4min,98.63945578231292,100.0,99.31506849315068,142.85714285714286,140.625,2.232142857142861,0.03588449787761659,0.05214140119641703,145,0,2
0018_5min,98.62068965517241,100.0,99.30555555555556,142.85714285714286,141.73228346456693,1.124859392575928,0.17931326264186861,0.2560306509921008,143,0,2
0018_6min,99.32885906040269,100.0,99.66329966329967,142.85714285714286,141.73228346456693,1.124859392575928,0.0043902007047727145,0.007140682426063598,148,0,1
0018_7min,100.0,100.0,100.0,142.85714285714286,141.73228346456693,1.124859392575928,0.005259502721034529,0.008086830367753829,142,0,0
0125_0min,100.0,100.0,100.0,80.0,80.0,0.0,0.030515434634654965,0.03757936275139718,83,0,0
0125_1min,100.0,100.0,100.0,77.92207792207792,78.26086956521739,0.33879164313947285,0.0337360723286745,0.04187614011714918,82,0,0
0125_2min,98.78048780487805,100.0,99.38650306748467,77.92207792207792,78.26086956521739,0.33879164313947285,0.03152245121426244,0.03723948421027792,81,0,1
0125_3min,100.0,100.0,100.0,77.92207792207792,77.92207792207792,0.0,0.03320911751478968,0.04039537370289255,81,0,0
0125_4min,98.79518072289156,100.0,99.3939393939394,77.92207792207792,78.94736842105263,1.0252904989747122,0.033220252227956444,0.03945109490101496,82,0,1
0125_5min,98.79518072289156,100.0,99.3939393939394,78.94736842105263,78.60262008733625,0.3447483337163817,0.03312279187453536,0.04054489966554225,82,0,1
0125_6min,100.0,100.0,100.0,77.92207792207792,77.41935483870968,0.5027230833682381,0.03317501465293154,0.040383185705980575,81,0,0
0125_7min,100.0,100.0,100.0,77.92207792207792,77.25321888412017,0.6688590379577448,0.033190451064512246,0.03945906161909644,78,0,0
0370_0min,94.36619718309859,94.36619718309859,94.36619718309859,76.59574468085107,76.92307692307692,0.3273322422258502,0.6324527426261419,0.9175517027471372,67,4,4
0370_1min,95.06172839506173,100.0,97.46835443037975,75.78947368421052,75.63025210084034,0.15922158337018288,0.13887635523625236,0.14803803315114417,77,0,4
0370_2min,100.0,100.0,100.0,71.42857142857143,71.71314741035856,0.2845759817871283,0.013710945155023828,0.005653624529417806,75,0,0
0370_3min,98.73417721518987,100.0,99.36305732484078,75.78947368421052,75.94936708860759,0.15989340439706723,0.03329586920351387,0.008506963092234008,78,0,1
0370_4min,98.68421052631578,100.0,99.33774834437085,72.0,72.0,0.0,0.025165671334506833,0.009807896051750762,75,0,1
0370_5min,98.64864864864865,100.0,99.31972789115648,69.76744186046511,69.76744186046511,0.0,0.011310612512962382,0.012671360632611248,73,0,1
0370_6min,98.64864864864865,100.0,99.31972789115648,70.03891050583657,70.03891050583657,0.0,0.018168922350238568,0.013262723834321408,73,0,1
0370_7min,100.0,100.0,100.0,73.77049180327869,73.77049180327869,0.0,0.012632979404598801,0.012939794109835681,74,0,0
0128_0min,98.55072463768117,100.0,99.27007299270075,65.93406593406593,65.93406593406593,0.0,0.04019586461306415,0.028447482476649126,68,0,1
0128_1min,100.0,100.0,100.0,67.41573033707866,67.41573033707866,0.0,0.019532208093959613,0.02050824798207095,70,0,0
0128_2min,98.57142857142858,100.0,99.28057553956835,65.93406593406593,66.54343807763401,0.6093721435680806,0.037824591615412614,0.043012590235181565,69,0,1
0128_3min,100.0,100.0,100.0,67.41573033707866,67.16417910447761,0.25155123260104517,0.04964580867656923,0.05118955333239752,68,0,0
0128_4min,98.57142857142858,100.0,99.28057553956835,68.96551724137932,68.70229007633588,0.2632271650434319,0.07243067984848763,0.027302737396093936,69,0,1
0128_5min,98.66666666666667,100.0,99.32885906040269,71.42857142857143,70.86614173228347,0.562429696287964,0.024026683942072975,0.017563816621708046,74,0,1
0128_6min,98.63013698630137,100.0,99.3103448275862,69.76744186046511,69.76744186046511,0.0,0.02108665990809074,0.02136604634713536,72,0,1
0128_7min,100.0,100.0,100.0,68.96551724137932,69.23076923076923,0.2652519893899097,0.0680957181766705,0.041528488831347875,67,0,0
0015_0min,99.20634920634922,100.0,99.60159362549801,120.0,120.0,0.0,0.005979294736434205,0.008611876004143922,125,0,1
0015_1min,99.20634920634922,100.0,99.60159362549801,120.0,120.0,0.0,0.005469356714854194,0.008258471328893345,125,0,1
0015_2min,98.4251968503937,100.0,99.20634920634922,120.0,120.0,0.0,0.005140808374285714,0.00822559075508254,125,0,2
0015_3min,99.20634920634922,100.0,99.60159362549801,120.0,120.0,0.0,0.005865576614116572,0.009116331375155476,125,0,1
0015_4min,99.20634920634922,100.0,99.60159362549801,120.0,120.0,0.0,0.005464003120054458,0.008606629658238704,125,0,1
0015_5min,99.20634920634922,100.0,99.60159362549801,120.0,120.0,0.0,0.006904521618239547,0.01031132370587303,125,0,1
0015_6min,99.2,100.0,99.59839357429718,117.6470588235294,119.20529801324504,1.5582391897156356,0.0067915247280378975,0.01058833946399227,124,0,1
0015_7min,100.0,100.0,100.0,120.0,119.20529801324504,0.7947019867549585,0.0069574155090758654,0.010724026684882957,119,0,0
0333_0min,98.55072463768117,100.0,99.27007299270075,65.21739130434783,65.21739130434783,0.0,0.011935944479784142,0.008102873913406628,68,0,1
0333_1min,98.55072463768117,100.0,99.27007299270075,64.74820143884892,64.74820143884892,0.0,0.008310691748386508,0.007094836174056477,68,0,1
0333_2min,100.0,100.0,100.0,65.21739130434783,64.98194945848375,0.23544184586407368,0.013950944262688749,0.0073052722993057154,68,0,0
0333_3min,98.33333333333333,100.0,99.15966386554621,56.074766355140184,56.25,0.17523364485981574,0.059552100179179994,0.013814420242184627,59,0,1
0333_4min,98.24561403508771,100.0,99.11504424778761,54.87804878048781,54.7112462006079,0.16680257987990643,0.03803144994045063,0.01464251659316357,56,0,1
0333_5min,100.0,100.0,100.0,82.19178082191782,82.56880733944953,0.3770265175317178,0.10946489680985608,0.01774041212098023,82,0,0
0333_6min,98.11320754716981,100.0,99.04761904761905,102.27272727272727,102.85714285714285,0.5844155844155807,0.05694823762802781,0.07651946653087652,104,0,2
0333_7min,100.0,100.0,100.0,75.47169811320754,75.47169811320755,1.4210854715202004e-14,0.10218766067226193,0.024040174391615793,75,0,0
0332_0min,98.73417721518987,100.0,99.36305732484078,74.22680412371133,74.68879668049793,0.4619925567865977,0.02387641136003625,0.04112809827643695,78,0,1
0332_1min,98.73417721518987,100.0,99.36305732484078,74.84407484407484,74.3801652892562,0.4639095548186418,0.022526884046913855,0.03860695631649031,78,0,1
0332_2min,100.0,100.0,100.0,77.92207792207792,78.26086956521739,0.33879164313947285,0.021170189838483327,0.028862701806233522,82,0,0
0332_3min,100.0,100.0,100.0,78.94736842105263,78.77461706783369,0.17275135321894197,0.017160490987208683,0.028293969266347096,83,0,0
0332_4min,100.0,100.0,100.0,71.42857142857143,71.2871287128713,0.141442715700137,0.02544913494168497,0.01815710233756487,75,0,0
0332_5min,98.64864864864865,100.0,99.31972789115648,70.58823529411765,70.58823529411765,0.0,0.010345124694186702,0.009921444187873189,73,0,1
0332_6min,98.64864864864865,100.0,99.31972789115648,69.76744186046511,70.03891050583657,0.2714686453714563,0.010396791738976443,0.011341891273177595,73,0,1
0332_7min,97.14285714285714,100.0,98.55072463768116,68.96551724137932,68.96551724137932,0.0,0.013331105479576376,0.01511460149825916,68,0,2
0122_0min,98.71794871794873,100.0,99.35483870967742,74.07407407407408,74.22680412371133,0.15273004963725612,0.026604664473455632,0.02166410241236256,77,0,1
0122_1min,98.71794871794873,100.0,99.35483870967742,74.07407407407408,73.92197125256672,0.15210282150735566,0.01924449252277696,0.017646739285414954,77,0,1
0122_2min,98.7012987012987,100.0,99.34640522875817,73.17073170731707,72.8744939271255,0.296237780191575,0.02053718097668557,0.01668017470616625,76,0,1
0122_3min,98.68421052631578,100.0,99.33774834437085,73.17073170731707,72.58064516129032,0.5900865460267539,0.017949927649027107,0.01550273702941995,75,0,1
0122_4min,98.68421052631578,100.0,99.33774834437085,73.17073170731707,72.58064516129032,0.5900865460267539,0.018579811586444492,0.020629366840882627,75,0,1
0122_5min,98.68421052631578,100.0,99.33774834437085,72.28915662650603,72.43460764587525,0.14545101936921867,0.022424878427090005,0.019452161982254464,75,0,1
0122_6min,98.68421052631578,100.0,99.33774834437085,71.42857142857143,72.43460764587525,1.0060362173038158,0.018410367849313863,0.018534594746994378,75,0,1
0122_7min,100.0,100.0,100.0,75.94936708860759,76.27118644067797,0.3218193520703778,0.06757100132738655,0.018233379838934898,78,0,0
0123_0min,98.98989898989899,100.0,99.49238578680203,95.23809523809524,94.24083769633508,0.9972575417601632,0.016051604879309535,0.01351439561685571,98,0,1
0123_1min,99.00990099009901,100.0,99.50248756218906,96.0,96.7741935483871,0.7741935483871032,0.01818954817597718,0.016102703256105647,100,0,1
0123_2min,98.95833333333334,100.0,99.47643979057591,90.9090909090909,90.9090909090909,0.0,0.021173420050002608,0.021836253874545335,95,0,1
0123_3min,97.77777777777777,96.7032967032967,97.23756906077348,88.23529411764706,89.10891089108911,0.8736167734420519,0.17674313509290576,0.2756057905963465,88,3,2
0123_4min,98.91304347826086,100.0,99.4535519125683,85.71428571428572,86.1244019138756,0.4101161995898792,0.03116443842302027,0.03165039992213308,91,0,1
0123_5min,98.88888888888889,100.0,99.44134078212291,84.50704225352113,84.70588235294119,0.1988400994200532,0.03211504729291649,0.033592859424917576,89,0,1
0123_6min,98.91304347826086,100.0,99.4535519125683,85.71428571428572,85.91885441527447,0.20456870098874447,0.03387520468507044,0.03467703676644493,91,0,1
0123_7min,100.0,100.0,100.0,86.95652173913044,86.95652173913044,0.0,0.03922903917282279,0.04047521332935563,88,0,0
0009_0min,98.09523809523809,100.0,99.03846153846153,100.0,99.44751381215468,0.552486187845318,0.059169859195148826,0.08562460602721471,103,0,2
0009_1min,99.04761904761905,100.0,99.52153110047847,100.0,99.44751381215468,0.552486187845318,0.014631053286740064,0.01904872779219361,104,0,1
0009_2min,99.04761904761905,100.0,99.52153110047847,100.84033613445379,100.55865921787709,0.2816769165766999,0.01359924306826003,0.018257418583505543,104,0,1
0009_3min,84.95575221238938,100.0,91.86602870813397,108.1081081081081,106.50887573964496,1.5992323684631344,0.21716657720054647,0.322759232956439,96,0,17
0009_4min,86.48648648648648,100.0,92.7536231884058,107.14285714285714,105.26315789473685,1.8796992481202892,0.20350283112925943,0.32161788113492856,96,0,15
0009_5min,98.14814814814815,100.0,99.06542056074767,103.44827586206897,102.85714285714285,0.591133004926121,0.056856123642633385,0.0848200709999965,106,0,2
0009_6min,97.16981132075472,100.0,98.5645933014354,100.0,100.0,0.0,0.08302601284540335,0.1048132080458283,103,0,3
0009_7min,98.9795918367347,100.0,99.48717948717947,98.36065573770492,98.36065573770492,0.0,0.06253667905199198,0.09236717981205635,97,0,1
0148_0min,98.78048780487805,100.0,99.38650306748467,78.60262008733625,78.60262008733625,0.0,0.020045737632280396,0.01528905733724625,81,0,1
0148_1min,100.0,100.0,100.0,78.60262008733625,78.94736842105263,0.3447483337163817,0.019071931994021712,0.013979151142564658,82,0,0
0148_2min,98.78048780487805,100.0,99.38650306748467,78.60262008733625,78.43137254901961,0.17124753831663497,0.017336337880622634,0.01261236417004386,81,0,1
0148_3min,100.0,100.0,100.0,76.59574468085107,76.27118644067797,0.3245582401731042,0.020495300119669334,0.015547922425131012,80,0,0
0148_4min,100.0,100.0,100.0,77.92207792207792,77.92207792207792,0.0,0.014892230287020188,0.015152007567755948,82,0,0
0148_5min,98.79518072289156,100.0,99.3939393939394,78.60262008733625,78.60262008733625,0.0,0.01843722439911978,0.017082317042941088,82,0,1
0148_6min,100.0,100.0,100.0,77.58620689655173,77.58620689655173,0.0,0.015500840031000471,0.015710997518871134,81,0,0
0148_7min,100.0,100.0,100.0,77.92207792207792,77.92207792207792,0.0,0.014519663797576816,0.014048787173725414,78,0,0
0149_0min,100.0,100.0,100.0,57.69230769230769,57.69230769230769,0.0,0.031328485977508556,0.02590507280311842,60,0,0
0149_1min,94.82758620689656,100.0,97.34513274336283,55.04587155963302,55.214723926380366,0.16885236674734472,0.21030566152537009,0.3033409356984979,55,0,3
0149_2min,98.36065573770492,100.0,99.17355371900827,58.252427184466015,58.06451612903225,0.18791105543376574,0.02193982525462291,0.025245916934012912,60,0,1
0149_3min,100.0,100.0,100.0,57.14285714285714,57.50798722044729,0.3651300775901518,0.023510021714283815,0.028446360088750393,60,0,0
0149_4min,98.36065573770492,100.0,99.17355371900827,57.14285714285714,57.50798722044729,0.3651300775901518,0.02068954015251872,0.02571208103423583,60,0,1
0149_5min,100.0,100.0,100.0,57.14285714285714,57.50798722044729,0.3651300775901518,0.02467264692989988,0.027323098728693467,60,0,0
0149_6min,100.0,100.0,100.0,57.14285714285714,57.14285714285714,0.0,0.022185484650928667,0.02363515791475009,60,0,0
0149_7min,98.27586206896551,100.0,99.13043478260869,57.14285714285714,57.50798722044729,0.3651300775901518,0.028115345407664655,0.027612030755166175,57,0,1
0311_0min,98.73417721518987,100.0,99.36305732484078,74.3801652892562,74.3801652892562,0.0,0.022451637146754293,0.007531609801286196,78,0,1
0311_1min,98.68421052631578,100.0,99.33774834437085,72.58064516129032,72.58064516129032,0.0,0.01797472275796746,0.006978985634536167,75,0,1
0311_2min,98.66666666666667,100.0,99.32885906040269,70.58823529411765,70.58823529411765,0.0,0.025415871310259366,0.008212080832830272,74,0,1
0311_3min,98.61111111111111,100.0,99.3006993006993,68.18181818181819,68.18181818181819,0.0,0.02113878124590815,0.007300762098176503,71,0,1
0311_4min,98.59154929577466,100.0,99.29078014184397,67.41573033707866,67.41573033707866,0.0,0.03339174326514178,0.008194929087252556,70,0,1
0311_5min,100.0,100.0,100.0,67.54221388367729,67.54221388367729,0.0,0.020885445028989848,0.009436626488565811,71,0,0
0311_6min,100.0,100.0,100.0,65.69343065693431,65.69343065693431,0.0,0.02139142896984163,0.009124166515013743,69,0,0
0311_7min,100.0,100.0,100.0,67.9245283018868,68.18181818181819,0.25728987993139185,0.03512469225080417,0.008351262763414271,67,0,0
0142_0min,99.00990099009901,100.0,99.50248756218906,95.49071618037134,96.25668449197862,0.7659683116072813,0.018254313633127895,0.013006190746426333,100,0,1
0142_1min,98.96907216494846,100.0,99.48186528497409,92.3076923076923,92.3076923076923,0.0,0.014184902173678307,0.012145687732543342,96,0,1
0142_2min,100.0,100.0,100.0,93.26424870466322,93.26424870466322,0.0,0.011377528918317375,0.01185854122563142,98,0,0
0142_3min,98.95833333333334,100.0,99.47643979057591,91.83673469387756,91.37055837563453,0.4661763182430292,0.01327738374336064,0.012332509901796039,95,0,1
0142_4min,98.96907216494846,100.0,99.48186528497409,92.3076923076923,92.3076923076923,0.0,0.014507997603385302,0.01092094956860004,96,0,1
0142_5min,98.95833333333334,100.0,99.47643979057591,92.3076923076923,92.3076923076923,0.0,0.015662562992145426,0.012433815225077704,95,0,1
0142_6min,100.0,100.0,100.0,91.37055837563453,90.9090909090909,0.461467466543624,0.012091938600811642,0.012714115994425772,95,0,0
0142_7min,100.0,100.0,100.0,90.9090909090909,90.45226130653266,0.4568296025582441,0.01282529570662082,0.012029005349444724,90,0,0
0325_0min,98.71794871794873,100.0,99.35483870967742,74.07407407407408,74.07407407407408,0.0,0.008757004846826904,0.0041810861604948445,77,0,1
0325_1min,98.71794871794873,100.0,99.35483870967742,74.07407407407408,74.3801652892562,0.30609121518212135,0.07224646821747364,0.0978805015955302,77,0,1
0325_2min,98.73417721518987,100.0,99.36305732484078,75.0,75.31380753138076,0.31380753138076045,0.0070175283249274065,0.004257775824390047,78,0,1
0325_3min,100.0,100.0,100.0,75.0,75.0,0.0,0.014596642562621557,0.005043668951391241,78,0,0
0325_4min,100.0,100.0,100.0,73.77049180327869,73.77049180327869,0.0,0.011642816275360153,0.004791968589521745,77,0,0
0325_5min,98.68421052631578,100.0,99.33774834437085,72.28915662650603,72.0,0.2891566265060277,0.008542897002616005,0.007330011701033683,75,0,1
0325_6min,98.64864864864865,100.0,99.31972789115648,70.86614173228347,71.00591715976331,0.13977542747984728,0.006194022296416512,0.004925104163082686,73,0,1
0325_7min,100.0,100.0,100.0,69.23076923076923,69.36416184971098,0.13339261894175536,0.009082792329105416,0.0049374193110101805,69,0,0
0134_0min,97.33333333333334,100.0,98.64864864864865,70.58823529411765,70.45009784735812,0.13813744675952933,0.016653286810453388,0.01825741858350554,73,0,2
0134_1min,98.64864864864865,100.0,99.31972789115648,71.42857142857143,70.58823529411765,0.8403361344537785,0.015548664699481431,0.018050528974080833,73,0,1
0134_2min,98.66666666666667,100.0,99.32885906040269,71.42857142857143,71.71314741035856,0.2845759817871283,0.017903154048280495,0.017916128329552337,74,0,1
0134_3min,100.0,100.0,100.0,72.28915662650603,72.28915662650603,0.0,0.01392650905004509,0.017992324022308066,76,0,0
0134_4min,100.0,100.0,100.0,73.17073170731707,72.8744939271255,0.296237780191575,0.018722139795400487,0.017854096694281927,76,0,0
0134_5min,98.68421052631578,100.0,99.33774834437085,73.17073170731707,72.8744939271255,0.296237780191575,0.016569781705679826,0.018365476181490828,75,0,1
0134_6min,98.7012987012987,100.0,99.34640522875817,73.17073170731707,72.8744939271255,0.296237780191575,0.02096327182078453,0.018273859305957627,76,0,1
0134_7min,100.0,100.0,100.0,73.17073170731707,73.46938775510205,0.29865604778497357,0.019947492634849646,0.016914819275153703,74,0,0
0150_0min,98.61111111111111,100.0,99.3006993006993,68.96551724137932,68.70229007633588,0.2632271650434319,0.027142898913919397,0.0254966765539728,71,0,1
0150_1min,98.52941176470588,100.0,99.25925925925925,64.51612903225806,64.51612903225806,0.0,0.027142600147763096,0.03430132937046605,67,0,1
0150_2min,98.52941176470588,100.0,99.25925925925925,64.51612903225806,64.28571428571428,0.23041474654378646,0.021184445630214748,0.03064826649773588,67,0,1
0150_3min,100.0,100.0,100.0,64.51612903225806,64.51612903225806,0.0,0.027060652320066582,0.031969577289258484,68,0,0
0150_4min,100.0,100.0,100.0,61.855670103092784,61.855670103092784,0.0,0.08834619012535117,0.09908697778551259,66,0,0
0150_5min,95.3125,98.38709677419355,96.82539682539682,61.224489795918366,61.43344709897611,0.20895730305774407,0.17782477020831122,0.17078956078775445,61,1,3
0150_6min,100.0,100.0,100.0,62.5,61.962134251290884,0.5378657487091161,0.017253267479387137,0.023280363155285515,65,0,0
0150_7min,100.0,98.4126984126984,99.19999999999999,62.5,62.06896551724138,0.4310344827586192,0.07421623854380635,0.07808850240368471,62,1,0
0127_0min,98.73417721518987,100.0,99.36305732484078,75.94936708860759,75.63025210084034,0.3191149877672501,0.026893954636908062,0.02499122653070016,78,0,1
0127_1min,98.76543209876543,100.0,99.37888198757764,76.92307692307692,76.43312101910828,0.4899559039686352,0.025555698481720217,0.027563386216868567,80,0,1
0127_2min,98.73417721518987,100.0,99.36305732484078,75.94936708860759,75.94936708860759,0.0,0.037534439749058804,0.03829708431025352,78,0,1
0127_3min,97.5,100.0,98.73417721518987,75.94936708860759,75.94936708860759,0.0,0.03147921456107996,0.03263075362095312,78,0,2
0127_4min,98.75,100.0,99.37106918238993,76.92307692307692,76.92307692307692,0.0,0.03223661516270086,0.035701585043288686,79,0,1
0127_5min,98.78048780487805,100.0,99.38650306748467,77.92207792207792,78.26086956521739,0.33879164313947285,0.03113230614829411,0.02951316185916814,81,0,1
0127_6min,100.0,100.0,100.0,80.0,79.82261640798225,0.17738359201774756,0.019680507133417284,0.022382140636649086,83,0,0
0127_7min,98.75,100.0,99.37106918238993,80.0,79.29515418502203,0.7048458149779719,0.012681655433827772,0.015968041676372068,79,0,1
0309_0min,100.0,100.0,100.0,66.79035250463822,66.91449814126395,0.12414563662572675,0.029818873635895343,0.009739560469683429,69,0,0
0309_1min,98.52941176470588,100.0,99.25925925925925,64.51612903225806,64.51612903225806,0.0,0.019514043091260584,0.015286438881414266,67,0,1
0309_2min,98.55072463768117,100.0,99.27007299270075,65.21739130434783,65.21739130434783,0.0,0.01912907827374542,0.018604514133079262,68,0,1
0309_3min,98.50746268656717,100.0,99.24812030075188,64.05693950177935,64.05693950177935,0.0,0.016590674883700387,0.015915357712320232,66,0,1
0309_4min,98.48484848484848,100.0,99.23664122137404,63.15789473684211,63.38028169014085,0.22238695329873792,0.017906974122453588,0.01875771446237126,65,0,1
